age,occupation_risk,location_risk,income_stability,prior_insurance,data_completeness,claim_outcome
22,med,med,low,no,65,1
35,low,low,high,yes,90,0
28,high,med,med,no,70,1
40,low,med,high,yes,85,0
30,med,high,low,no,60,1
26,med,low,med,no,75,0
50,high,high,low,yes,80,1
33,low,med,med,yes,88,0
24,high,med,low,no,55,1
45,med,low,high,yes,92,0
29,med,med,med,no,78,0
38,high,low,med,yes,83,0
27,low,high,low,no,62,1
41,med,med,high,yes,87,0
23,low,low,med,no,72,0
36,high,high,med,no,66,1
32,med,high,med,yes,82,0
48,high,med,low,no,58,1
25,med,low,high,no,80,0
39,low,med,high,yes,90,0
